latency,type,valid,rotation,distance,block
12.8719106939825,object,1,3,17,0
14.748860160441836,face,1,93,1,0
16.403406625293428,body,1,54,5,0
18.024928302460467,face,1,111,2,0
19.757383527728962,object,1,73,72,0
21.334685686262674,object,1,50,15,0
22.900630913194618,body,1,27,6,0
24.877219747228082,body,1,12,11,0
26.509835154240136,face,1,0,6,0
28.175646050221985,body,1,9,2,0
29.997170867587556,object,1,81,11,0
31.5409859350475,object,1,8,36,0
33.20675173080235,body,1,22,11,0
34.9835588260903,body,1,113,6,0
36.91605864271696,object,1,143,43,0
38.48193006897054,face,1,8,4,0
40.058965625823475,body,1,141,2,0
41.71385989320697,face,1,14,3,0
43.39084051961254,object,1,122,10,0
45.21213548463129,body,1,5,5,0
47.05573096089938,object,1,177,9,0
48.99932600736793,body,1,113,6,0
51.02051146257145,object,1,10,43,0
52.75306433919468,object,1,34,7,0
54.6965665849566,object,1,93,4,0
56.29578960148501,object,1,108,11,0
58.2727191378799,body,1,141,2,0
60.17174136337417,body,1,117,5,0
62.10431578045245,object,1,75,3,0
64.03662149560114,body,1,27,6,0
65.78030090243556,face,1,2,2,0
67.42406483969535,face,1,29,7,0
68.96759455437132,object,1,47,7,0
70.64477298228303,object,1,108,11,0
72.35503279842669,body,1,164,12,0
74.10973243451735,body,1,51,9,0
75.89790456183255,face,1,53,1,0
77.89688585698605,object,0,7,6,0
79.75152306281962,object,1,82,12,0
81.28410409948265,object,1,59,27,0
82.98346368702187,body,1,161,6,0
84.80479040300997,face,1,15,1,0
86.77035070769489,object,1,75,1,0
88.6807816651999,body,1,32,9,0
90.5131009103643,object,1,166,5,0
92.13465488766087,face,1,80,1,0
93.90049020320293,body,1,167,13,0
95.57746632969065,object,1,106,13,0
97.55432256564382,object,1,83,82,0
99.25359495263547,body,1,166,5,0
101.19847160829522,object,1,59,27,0
103.02964864522801,object,1,106,13,0
104.80656284133147,face,1,11,4,0
106.66117674698762,object,1,116,7,0
108.33791817180463,face,1,54,3,0
110.29273094894597,face,1,13,4,0
112.12550109729636,body,1,175,10,0
113.65797493314312,face,1,37,3,0
115.31264689895033,face,1,14,2,0
117.20062024411163,face,1,2,2,0
118.98862737005402,face,1,24,4,0
120.63222420615784,face,1,70,6,0
122.49815344334638,body,1,6,10,0
124.45279741931881,body,1,10,9,0
126.10743758488388,body,1,32,9,0
127.85117019199242,object,1,8,36,0
129.5836142679036,face,1,7,1,0
131.2383986345667,body,1,140,6,0
133.1596403200965,body,1,52,8,0
134.9921851667459,body,0,5,1,0
136.59148488374194,object,1,158,19,0
138.3129487305705,body,0,1,2,0
140.20093042650842,object,1,15,24,0
141.93336115159036,face,1,8,3,0
143.63254503792268,object,1,135,45,0
145.4094552341121,body,1,161,6,0
147.30869736104796,object,1,166,5,0
149.13013157784007,object,1,62,21,0
150.84027379308827,object,1,175,21,0
152.51726771971153,body,1,179,5,0
154.24977499598754,object,0,73,72,0
155.9935366033169,object,0,59,5,0
157.65931159915635,face,1,113,2,0
159.63616563509277,object,1,84,19,0
161.41313243159675,body,1,164,12,0
163.42337875801604,body,1,62,6,0
165.03390240583394,body,1,77,4,0
167.03275254939217,object,1,7,40,0
168.9095096145029,object,1,122,10,0
170.8976055815292,body,1,103,1,0
172.50784302728425,object,1,62,13,0
174.18487815422122,body,1,18,6,0
175.93963529076427,body,1,109,9,0
177.68329889747838,object,1,47,7,0
179.41585937415948,body,1,0,2,0
181.25932294953964,body,1,140,6,0
182.91411851617158,face,1,67,4,0
184.93557417330157,object,1,4,79,0
186.75695538970467,object,1,76,4,0
188.46723060583463,face,1,23,4,0
190.44396859029075,body,1,91,1,0
192.1320159464376,body,1,178,4,0
193.86455342294357,body,1,113,9,0
195.5859828695102,face,1,2,2,0
197.3406374053884,body,0,95,1,0
199.26209039229434,object,1,20,7,0
201.12781662792258,body,1,93,1,0
203.0271301555331,object,0,32,50,0
205.0483526110038,face,1,29,7,0
206.88066005596193,object,1,57,6,0
208.87974875204964,body,1,37,11,0
210.90104230806173,body,1,81,6,0
212.67794940422755,face,1,53,6,0
214.49923631979618,face,1,101,3,0
216.43175738574064,face,1,9,4,0
218.38794327275536,face,1,105,1,0
219.95239158897311,object,0,57,1,0
221.7958585642773,object,1,158,19,0
223.76167447079206,body,1,11,1,0
225.7828355258098,object,1,154,30,0
227.5489078938699,object,1,130,9,0
229.414758930463,object,1,60,9,0
231.19163242625655,face,1,72,3,0
233.00169181107776,body,0,117,5,0
234.78971723714494,object,1,24,9,0
236.6445049441245,face,1,8,1,0
238.6657156995061,object,1,51,33,0
240.3316672458459,object,1,58,10,0
242.16418469228665,object,1,116,7,0
243.830040888628,body,1,37,11,0
245.47357482425286,body,1,12,4,0
247.23955839165137,face,1,4,1,0
249.1275247874728,face,1,13,1,0
250.915570313824,face,1,9,2,0
252.90357048000442,object,1,53,6,0
254.7914879754535,body,0,133,3,0
256.4906834618596,object,1,124,14,0
258.2676320583414,object,1,84,19,0
260.1558146557072,face,1,8,4,0
261.85494704163284,body,1,141,3,0
263.7429318868817,body,1,81,6,0
265.57543053329573,face,1,83,2,0
267.4189764093171,body,1,169,7,0
269.4179663046525,face,1,53,1,0
271.1060807613103,face,1,5,2,0
272.94970393768745,body,0,9,3,0
274.8820416531962,face,1,94,1,0
276.6590752500924,object,1,73,11,0
278.4027556569199,body,1,52,8,0
280.201869412791,object,1,154,30,0
281.80100252875127,face,1,8,3,0
283.6559969370719,body,1,109,9,0
285.32155933140893,object,1,178,7,0
286.8988649900857,face,1,8,4,0
288.4648595665494,object,1,167,13,0
290.2082449711306,face,1,83,2,0
292.1073223970452,body,1,174,6,0
294.062006473323,body,1,13,11,0
295.69460858023376,face,1,4,2,0
297.51589589592186,object,1,37,27,0
299.4928660327423,face,1,10,3,0
301.16968155800714,body,1,4,13,0
302.96887901451555,body,1,22,5,0
304.77927740180166,face,1,8,1,0
306.32292886811774,object,1,143,43,0
308.2775061435823,face,1,112,1,0
310.0877206295845,face,1,2,2,0
311.6648519869341,face,1,64,1,0
313.26421075376857,body,1,15,2,0
314.9300376498868,face,1,19,3,0
316.59589284620597,body,1,133,3,0
318.5837911116105,face,1,8,4,0
320.4273968880734,object,1,136,5,0
322.19330465501116,body,1,66,8,0
324.12559087001137,body,1,128,4,0
325.8136743263167,object,1,93,4,0
327.712882053238,object,1,152,6,0
329.73408560844837,object,1,37,2,0
331.4557128565066,object,1,3,17,0
333.15483474235225,face,1,9,2,0
335.12060184839356,face,1,15,2,0
336.6975624046754,face,1,67,4,0
338.4410971596808,face,1,5,5,0
340.01821921707597,object,1,89,6,0
341.9950013523485,body,1,96,2,0
343.52766838966636,object,1,164,8,0
345.0823968857003,face,1,23,4,0
